candidate,weighting,features,tuning_big_swell_mae,tuning_big_swell_bias,tuning_overall_mae,tuning_overall_bias
combined-sea-only,uniform,1,0.3948,0.0644,0.2067,0.0262
combined-sea-only,big-swell-weighted,1,0.3949,0.0647,0.2068,0.0266
sea-and-swell,uniform,3,0.3844,0.0741,0.2098,0.0310
sea-and-swell,big-swell-weighted,3,0.3828,0.0833,0.2165,0.0312
sea-swell-direction,uniform,5,0.3818,0.0758,0.2115,0.0322
sea-swell-direction,big-swell-weighted,5,0.3793,0.0850,0.2183,0.0313
all-readings,uniform,8,0.3702,0.0584,0.2092,0.0254
all-readings,big-swell-weighted,8,0.3667,0.0673,0.2161,0.0231
all-readings-with-interaction,uniform,9,0.3730,0.0950,0.2079,0.0303
all-readings-with-interaction,big-swell-weighted,9,0.3671,0.0812,0.2133,0.0366
