quantity,candidate,input_combined_sea_band,hours,bias,rmse
significant_wave_height_m,shipped,0-1 m,3911,0.2709,0.2773
significant_wave_height_m,all-hours,0-1 m,3911,0.0038,0.0593
significant_wave_height_m,combined-sea-3m,0-1 m,3911,0.0849,0.1034
significant_wave_height_m,band-fitted,0-1 m,3911,-0.0125,0.0605
significant_wave_height_m,regime-aware,0-1 m,3911,-0.0066,0.0596
significant_wave_height_m,shipped,1-2 m,16929,0.2195,0.2403
significant_wave_height_m,all-hours,1-2 m,16929,0.0025,0.0938
significant_wave_height_m,combined-sea-3m,1-2 m,16929,0.0646,0.1147
significant_wave_height_m,band-fitted,1-2 m,16929,-0.009,0.094
significant_wave_height_m,regime-aware,1-2 m,16929,0.0008,0.0935
significant_wave_height_m,shipped,2-3 m,9283,0.1418,0.2014
significant_wave_height_m,all-hours,2-3 m,9283,-0.0076,0.1411
significant_wave_height_m,combined-sea-3m,2-3 m,9283,0.0289,0.1442
significant_wave_height_m,band-fitted,2-3 m,9283,-0.0127,0.1414
significant_wave_height_m,regime-aware,2-3 m,9283,0.0025,0.1408
significant_wave_height_m,shipped,3-4 m,3409,0.078,0.212
significant_wave_height_m,all-hours,3-4 m,3409,-0.0016,0.1959
significant_wave_height_m,combined-sea-3m,3-4 m,3409,0.0084,0.1963
significant_wave_height_m,band-fitted,3-4 m,3409,-0.0,0.1959
significant_wave_height_m,regime-aware,3-4 m,3409,0.0049,0.1961
significant_wave_height_m,shipped,4-5 m,984,-0.0327,0.2595
significant_wave_height_m,all-hours,4-5 m,984,-0.0421,0.2595
significant_wave_height_m,combined-sea-3m,4-5 m,984,-0.0587,0.263
significant_wave_height_m,band-fitted,4-5 m,984,-0.0338,0.2582
significant_wave_height_m,regime-aware,4-5 m,984,-0.0595,0.2632
significant_wave_height_m,shipped,5-6 m,359,0.042,0.27
significant_wave_height_m,all-hours,5-6 m,359,0.1054,0.2894
significant_wave_height_m,combined-sea-3m,5-6 m,359,0.0612,0.2751
significant_wave_height_m,band-fitted,5-6 m,359,0.1207,0.2956
significant_wave_height_m,regime-aware,5-6 m,359,0.0631,0.2757
significant_wave_height_m,shipped,6-99 m,189,-0.0308,0.2646
significant_wave_height_m,all-hours,6-99 m,189,0.1131,0.2847
significant_wave_height_m,combined-sea-3m,6-99 m,189,0.0384,0.2642
significant_wave_height_m,band-fitted,6-99 m,189,0.1361,0.2946
significant_wave_height_m,regime-aware,6-99 m,189,0.0433,0.2649
significant_wave_height_m,shipped,all hours,35064,0.1807,0.2336
significant_wave_height_m,all-hours,all hours,35064,-0.0,0.1297
significant_wave_height_m,combined-sea-3m,all hours,35064,0.0483,0.141
significant_wave_height_m,band-fitted,all hours,35064,-0.0081,0.1301
significant_wave_height_m,regime-aware,all hours,35064,-0.0,0.1293
swell_period_s,shipped,0-1 m,3911,0.2311,1.1813
swell_period_s,all-hours,0-1 m,3911,0.0379,1.1575
swell_period_s,combined-sea-3m,0-1 m,3911,0.0446,1.169
swell_period_s,band-fitted,0-1 m,3911,0.0638,1.1672
swell_period_s,regime-aware,0-1 m,3911,0.0379,1.1575
swell_period_s,shipped,1-2 m,16929,0.2221,1.024
swell_period_s,all-hours,1-2 m,16929,0.0232,0.9994
swell_period_s,combined-sea-3m,1-2 m,16929,0.0657,1.0064
swell_period_s,band-fitted,1-2 m,16929,0.0776,1.0059
swell_period_s,regime-aware,1-2 m,16929,0.0232,0.9994
swell_period_s,shipped,2-3 m,9283,0.2213,0.8266
swell_period_s,all-hours,2-3 m,9283,0.0155,0.7968
swell_period_s,combined-sea-3m,2-3 m,9283,0.1015,0.8031
swell_period_s,band-fitted,2-3 m,9283,0.1044,0.8032
swell_period_s,regime-aware,2-3 m,9283,0.0155,0.7968
swell_period_s,shipped,3-4 m,3409,0.0913,0.6909
swell_period_s,all-hours,3-4 m,3409,-0.1209,0.6959
swell_period_s,combined-sea-3m,3-4 m,3409,0.0054,0.6843
swell_period_s,band-fitted,3-4 m,3409,0.0,0.6842
swell_period_s,regime-aware,3-4 m,3409,-0.1209,0.6959
swell_period_s,shipped,4-5 m,984,-0.0154,0.6237
swell_period_s,all-hours,4-5 m,984,-0.2322,0.6664
swell_period_s,combined-sea-3m,4-5 m,984,-0.0765,0.6232
swell_period_s,band-fitted,4-5 m,984,-0.0879,0.6258
swell_period_s,regime-aware,4-5 m,984,-0.2322,0.6664
swell_period_s,shipped,5-6 m,359,0.171,0.5094
swell_period_s,all-hours,5-6 m,359,-0.0492,0.4825
swell_period_s,combined-sea-3m,5-6 m,359,0.1278,0.4963
swell_period_s,band-fitted,5-6 m,359,0.112,0.4924
swell_period_s,regime-aware,5-6 m,359,-0.0492,0.4825
swell_period_s,shipped,6-99 m,189,0.0835,0.4096
swell_period_s,all-hours,6-99 m,189,-0.1401,0.424
swell_period_s,combined-sea-3m,6-99 m,189,0.0582,0.4096
swell_period_s,band-fitted,6-99 m,189,0.038,0.4061
swell_period_s,regime-aware,6-99 m,189,-0.1401,0.424
swell_period_s,shipped,all hours,35064,0.2022,0.9506
swell_period_s,all-hours,all hours,35064,0.0,0.9288
swell_period_s,combined-sea-3m,all hours,35064,0.0636,0.9338
swell_period_s,band-fitted,all hours,35064,0.0711,0.9333
swell_period_s,regime-aware,all hours,35064,0.0,0.9288
