generator,scatter,candidate,band,rows,served_baseline_mae,served_learned_mae,served_gain_m,served_gain_p5,served_gain_p95
shipped,flat,shipped,all hours,28426,0.2239,0.2384,-0.0145,-0.0153,-0.0138
shipped,flat,period-sea-3m,all hours,28426,0.2239,0.2384,-0.0145,-0.0153,-0.0138
shipped,flat,period-op-sea-3m,all hours,28426,0.2239,0.2384,-0.0145,-0.0152,-0.0137
shipped,flat,swell-3m,all hours,28426,0.2239,0.2958,-0.0719,-0.0734,-0.0706
shipped,flat,all-hours,all hours,28426,0.2239,0.2392,-0.0153,-0.016,-0.0145
shipped,flat,combined-sea-3m,all hours,28426,0.2239,0.2413,-0.0174,-0.0183,-0.0165
shipped,flat,band-fitted,all hours,28426,0.2239,0.2388,-0.0149,-0.0156,-0.0142
shipped,flat,regime-aware,all hours,28426,0.2239,0.2379,-0.014,-0.0148,-0.0133
shipped,flat,shipped,Combined Sea >= 3 m,4473,0.3962,0.3741,0.0221,0.0191,0.0247
shipped,flat,period-sea-3m,Combined Sea >= 3 m,4473,0.3962,0.3741,0.0221,0.0191,0.0247
shipped,flat,period-op-sea-3m,Combined Sea >= 3 m,4473,0.3962,0.3738,0.0223,0.0194,0.025
shipped,flat,swell-3m,Combined Sea >= 3 m,4473,0.3962,0.3641,0.0321,0.0293,0.0346
shipped,flat,all-hours,Combined Sea >= 3 m,4473,0.3962,0.3749,0.0212,0.0183,0.0239
shipped,flat,combined-sea-3m,Combined Sea >= 3 m,4473,0.3962,0.3742,0.0219,0.019,0.0246
shipped,flat,band-fitted,Combined Sea >= 3 m,4473,0.3962,0.373,0.0231,0.0202,0.0257
shipped,flat,regime-aware,Combined Sea >= 3 m,4473,0.3962,0.3757,0.0204,0.0174,0.0231
shipped,flat,shipped,measured target under 2 m,15665,0.1678,0.201,-0.0332,-0.0343,-0.0321
shipped,flat,period-sea-3m,measured target under 2 m,15665,0.1678,0.201,-0.0332,-0.0343,-0.0321
shipped,flat,period-op-sea-3m,measured target under 2 m,15665,0.1678,0.201,-0.0332,-0.0343,-0.0321
shipped,flat,swell-3m,measured target under 2 m,15665,0.1678,0.2847,-0.1169,-0.1195,-0.1146
shipped,flat,all-hours,measured target under 2 m,15665,0.1678,0.202,-0.0341,-0.0352,-0.033
shipped,flat,combined-sea-3m,measured target under 2 m,15665,0.1678,0.2043,-0.0365,-0.0378,-0.0352
shipped,flat,band-fitted,measured target under 2 m,15665,0.1678,0.2022,-0.0344,-0.0355,-0.0333
shipped,flat,regime-aware,measured target under 2 m,15665,0.1678,0.2005,-0.0327,-0.0338,-0.0316
shipped,flat,shipped,measured target 2-3 m,7511,0.2186,0.2438,-0.0252,-0.0268,-0.0235
shipped,flat,period-sea-3m,measured target 2-3 m,7511,0.2186,0.2438,-0.0252,-0.0268,-0.0235
shipped,flat,period-op-sea-3m,measured target 2-3 m,7511,0.2186,0.2437,-0.0251,-0.0267,-0.0234
shipped,flat,swell-3m,measured target 2-3 m,7511,0.2186,0.2729,-0.0544,-0.0557,-0.0529
shipped,flat,all-hours,measured target 2-3 m,7511,0.2186,0.2446,-0.026,-0.0276,-0.0243
shipped,flat,combined-sea-3m,measured target 2-3 m,7511,0.2186,0.2442,-0.0256,-0.027,-0.0241
shipped,flat,band-fitted,measured target 2-3 m,7511,0.2186,0.2437,-0.0251,-0.0268,-0.0234
shipped,flat,regime-aware,measured target 2-3 m,7511,0.2186,0.2408,-0.0222,-0.0238,-0.0206
shipped,flat,shipped,measured target 3-4 m,3383,0.3029,0.3003,0.0027,-0.0,0.0054
shipped,flat,period-sea-3m,measured target 3-4 m,3383,0.3029,0.3003,0.0027,-0.0,0.0054
shipped,flat,period-op-sea-3m,measured target 3-4 m,3383,0.3029,0.3002,0.0028,0.0001,0.0055
shipped,flat,swell-3m,measured target 3-4 m,3383,0.3029,0.3188,-0.0159,-0.0177,-0.0138
shipped,flat,all-hours,measured target 3-4 m,3383,0.3029,0.3009,0.002,-0.0007,0.0048
shipped,flat,combined-sea-3m,measured target 3-4 m,3383,0.3029,0.3057,-0.0027,-0.0055,-0.0002
shipped,flat,band-fitted,measured target 3-4 m,3383,0.3029,0.2984,0.0045,0.0018,0.0072
shipped,flat,regime-aware,measured target 3-4 m,3383,0.3029,0.303,-0.0001,-0.0028,0.0025
shipped,flat,shipped,measured target 4-5 m,1127,0.4337,0.3411,0.0927,0.0864,0.0986
shipped,flat,period-sea-3m,measured target 4-5 m,1127,0.4337,0.3411,0.0927,0.0864,0.0986
shipped,flat,period-op-sea-3m,measured target 4-5 m,1127,0.4337,0.3411,0.0927,0.0864,0.0986
shipped,flat,swell-3m,measured target 4-5 m,1127,0.4337,0.3666,0.0672,0.0616,0.0728
shipped,flat,all-hours,measured target 4-5 m,1127,0.4337,0.341,0.0927,0.0864,0.0987
shipped,flat,combined-sea-3m,measured target 4-5 m,1127,0.4337,0.3495,0.0843,0.0779,0.0904
shipped,flat,band-fitted,measured target 4-5 m,1127,0.4337,0.3391,0.0946,0.0884,0.1005
shipped,flat,regime-aware,measured target 4-5 m,1127,0.4337,0.3487,0.0851,0.0787,0.0914
shipped,flat,shipped,measured target 5-6 m,415,0.6512,0.4622,0.189,0.1801,0.1987
shipped,flat,period-sea-3m,measured target 5-6 m,415,0.6512,0.4622,0.189,0.1801,0.1987
shipped,flat,period-op-sea-3m,measured target 5-6 m,415,0.6512,0.4623,0.1889,0.18,0.1985
shipped,flat,swell-3m,measured target 5-6 m,415,0.6512,0.491,0.1602,0.1505,0.1709
shipped,flat,all-hours,measured target 5-6 m,415,0.6512,0.4612,0.19,0.1812,0.1999
shipped,flat,combined-sea-3m,measured target 5-6 m,415,0.6512,0.4678,0.1834,0.1739,0.1936
shipped,flat,band-fitted,measured target 5-6 m,415,0.6512,0.462,0.1892,0.1806,0.1987
shipped,flat,regime-aware,measured target 5-6 m,415,0.6512,0.4658,0.1854,0.1758,0.1957
shipped,flat,shipped,measured target 6 m and above,325,0.9537,0.6319,0.3218,0.3076,0.3345
shipped,flat,period-sea-3m,measured target 6 m and above,325,0.9537,0.6319,0.3218,0.3076,0.3345
shipped,flat,period-op-sea-3m,measured target 6 m and above,325,0.9537,0.6319,0.3217,0.3075,0.3345
shipped,flat,swell-3m,measured target 6 m and above,325,0.9537,0.6275,0.3262,0.3105,0.3418
shipped,flat,all-hours,measured target 6 m and above,325,0.9537,0.6304,0.3233,0.3091,0.3362
shipped,flat,combined-sea-3m,measured target 6 m and above,325,0.9537,0.6235,0.3302,0.3153,0.3437
shipped,flat,band-fitted,measured target 6 m and above,325,0.9537,0.6359,0.3177,0.3041,0.3303
shipped,flat,regime-aware,measured target 6 m and above,325,0.9537,0.6224,0.3313,0.3164,0.3447
regime-aware,flat,shipped,all hours,28426,0.2197,0.2359,-0.0162,-0.017,-0.0154
regime-aware,flat,period-sea-3m,all hours,28426,0.2197,0.2359,-0.0162,-0.017,-0.0154
regime-aware,flat,period-op-sea-3m,all hours,28426,0.2197,0.2359,-0.0161,-0.017,-0.0154
regime-aware,flat,swell-3m,all hours,28426,0.2197,0.2971,-0.0774,-0.0787,-0.0762
regime-aware,flat,all-hours,all hours,28426,0.2197,0.2367,-0.017,-0.0178,-0.0161
regime-aware,flat,combined-sea-3m,all hours,28426,0.2197,0.2393,-0.0196,-0.0205,-0.0186
regime-aware,flat,band-fitted,all hours,28426,0.2197,0.2363,-0.0166,-0.0174,-0.0157
regime-aware,flat,regime-aware,all hours,28426,0.2197,0.2355,-0.0157,-0.0166,-0.0149
regime-aware,flat,shipped,Combined Sea >= 3 m,4473,0.4278,0.4059,0.0219,0.0181,0.0257
regime-aware,flat,period-sea-3m,Combined Sea >= 3 m,4473,0.4278,0.4059,0.0219,0.0181,0.0257
regime-aware,flat,period-op-sea-3m,Combined Sea >= 3 m,4473,0.4278,0.4057,0.0221,0.0183,0.0259
regime-aware,flat,swell-3m,Combined Sea >= 3 m,4473,0.4278,0.4005,0.0273,0.0237,0.0308
regime-aware,flat,all-hours,Combined Sea >= 3 m,4473,0.4278,0.4066,0.0212,0.0174,0.025
regime-aware,flat,combined-sea-3m,Combined Sea >= 3 m,4473,0.4278,0.407,0.0208,0.017,0.0246
regime-aware,flat,band-fitted,Combined Sea >= 3 m,4473,0.4278,0.4049,0.023,0.0191,0.0267
regime-aware,flat,regime-aware,Combined Sea >= 3 m,4473,0.4278,0.4079,0.0199,0.016,0.0238
regime-aware,flat,shipped,measured target under 2 m,15665,0.1562,0.191,-0.0349,-0.0358,-0.0339
regime-aware,flat,period-sea-3m,measured target under 2 m,15665,0.1562,0.191,-0.0349,-0.0358,-0.0339
regime-aware,flat,period-op-sea-3m,measured target under 2 m,15665,0.1562,0.1911,-0.0349,-0.0359,-0.0339
regime-aware,flat,swell-3m,measured target under 2 m,15665,0.1562,0.282,-0.1258,-0.128,-0.1238
regime-aware,flat,all-hours,measured target under 2 m,15665,0.1562,0.192,-0.0358,-0.0368,-0.0349
regime-aware,flat,combined-sea-3m,measured target under 2 m,15665,0.1562,0.1956,-0.0394,-0.0405,-0.0383
regime-aware,flat,band-fitted,measured target under 2 m,15665,0.1562,0.1921,-0.036,-0.037,-0.0351
regime-aware,flat,regime-aware,measured target under 2 m,15665,0.1562,0.1906,-0.0344,-0.0354,-0.0335
regime-aware,flat,shipped,measured target 2-3 m,7511,0.2116,0.2387,-0.0271,-0.0285,-0.0256
regime-aware,flat,period-sea-3m,measured target 2-3 m,7511,0.2116,0.2387,-0.0271,-0.0285,-0.0256
regime-aware,flat,period-op-sea-3m,measured target 2-3 m,7511,0.2116,0.2386,-0.027,-0.0284,-0.0255
regime-aware,flat,swell-3m,measured target 2-3 m,7511,0.2116,0.2651,-0.0535,-0.0548,-0.0522
regime-aware,flat,all-hours,measured target 2-3 m,7511,0.2116,0.2395,-0.0279,-0.0294,-0.0265
regime-aware,flat,combined-sea-3m,measured target 2-3 m,7511,0.2116,0.2381,-0.0265,-0.0278,-0.0251
regime-aware,flat,band-fitted,measured target 2-3 m,7511,0.2116,0.2388,-0.0272,-0.0287,-0.0257
regime-aware,flat,regime-aware,measured target 2-3 m,7511,0.2116,0.2357,-0.0241,-0.0255,-0.0227
regime-aware,flat,shipped,measured target 3-4 m,3383,0.3215,0.3206,0.001,-0.0025,0.0048
regime-aware,flat,period-sea-3m,measured target 3-4 m,3383,0.3215,0.3206,0.001,-0.0025,0.0048
regime-aware,flat,period-op-sea-3m,measured target 3-4 m,3383,0.3215,0.3205,0.0011,-0.0024,0.0049
regime-aware,flat,swell-3m,measured target 3-4 m,3383,0.3215,0.3433,-0.0217,-0.0242,-0.0188
regime-aware,flat,all-hours,measured target 3-4 m,3383,0.3215,0.3211,0.0004,-0.003,0.0043
regime-aware,flat,combined-sea-3m,measured target 3-4 m,3383,0.3215,0.3271,-0.0055,-0.0088,-0.0019
regime-aware,flat,band-fitted,measured target 3-4 m,3383,0.3215,0.3186,0.003,-0.0004,0.0068
regime-aware,flat,regime-aware,measured target 3-4 m,3383,0.3215,0.3241,-0.0026,-0.006,0.0012
regime-aware,flat,shipped,measured target 4-5 m,1127,0.4553,0.3698,0.0855,0.0773,0.0938
regime-aware,flat,period-sea-3m,measured target 4-5 m,1127,0.4553,0.3698,0.0855,0.0773,0.0938
regime-aware,flat,period-op-sea-3m,measured target 4-5 m,1127,0.4553,0.3699,0.0855,0.0773,0.0938
regime-aware,flat,swell-3m,measured target 4-5 m,1127,0.4553,0.3984,0.0569,0.0486,0.0648
regime-aware,flat,all-hours,measured target 4-5 m,1127,0.4553,0.3697,0.0856,0.0774,0.094
regime-aware,flat,combined-sea-3m,measured target 4-5 m,1127,0.4553,0.3789,0.0764,0.068,0.0851
regime-aware,flat,band-fitted,measured target 4-5 m,1127,0.4553,0.3678,0.0875,0.0794,0.0956
regime-aware,flat,regime-aware,measured target 4-5 m,1127,0.4553,0.3778,0.0775,0.0691,0.0862
regime-aware,flat,shipped,measured target 5-6 m,415,0.6765,0.4859,0.1906,0.1776,0.2059
regime-aware,flat,period-sea-3m,measured target 5-6 m,415,0.6765,0.4859,0.1906,0.1776,0.2059
regime-aware,flat,period-op-sea-3m,measured target 5-6 m,415,0.6765,0.486,0.1905,0.1775,0.2057
regime-aware,flat,swell-3m,measured target 5-6 m,415,0.6765,0.5153,0.1612,0.1473,0.1773
regime-aware,flat,all-hours,measured target 5-6 m,415,0.6765,0.4847,0.1918,0.1786,0.2071
regime-aware,flat,combined-sea-3m,measured target 5-6 m,415,0.6765,0.4909,0.1855,0.1714,0.2017
regime-aware,flat,band-fitted,measured target 5-6 m,415,0.6765,0.486,0.1905,0.1782,0.2053
regime-aware,flat,regime-aware,measured target 5-6 m,415,0.6765,0.4888,0.1877,0.1734,0.2038
regime-aware,flat,shipped,measured target 6 m and above,325,1.0109,0.6689,0.342,0.3233,0.3599
regime-aware,flat,period-sea-3m,measured target 6 m and above,325,1.0109,0.6689,0.342,0.3233,0.3599
regime-aware,flat,period-op-sea-3m,measured target 6 m and above,325,1.0109,0.669,0.3419,0.3232,0.3598
regime-aware,flat,swell-3m,measured target 6 m and above,325,1.0109,0.6554,0.3555,0.3314,0.3768
regime-aware,flat,all-hours,measured target 6 m and above,325,1.0109,0.667,0.344,0.325,0.3622
regime-aware,flat,combined-sea-3m,measured target 6 m and above,325,1.0109,0.6551,0.3558,0.3344,0.3759
regime-aware,flat,band-fitted,measured target 6 m and above,325,1.0109,0.6746,0.3363,0.3183,0.3536
regime-aware,flat,regime-aware,measured target 6 m and above,325,1.0109,0.654,0.3569,0.3357,0.3771
regime-aware,none,shipped,all hours,28426,0.1932,0.2074,-0.0142,-0.0142,-0.0142
regime-aware,none,period-sea-3m,all hours,28426,0.1932,0.2074,-0.0142,-0.0142,-0.0142
regime-aware,none,period-op-sea-3m,all hours,28426,0.1932,0.2074,-0.0141,-0.0141,-0.0141
regime-aware,none,swell-3m,all hours,28426,0.1932,0.2735,-0.0803,-0.0803,-0.0803
regime-aware,none,all-hours,all hours,28426,0.1932,0.2082,-0.015,-0.015,-0.015
regime-aware,none,combined-sea-3m,all hours,28426,0.1932,0.21,-0.0168,-0.0168,-0.0168
regime-aware,none,band-fitted,all hours,28426,0.1932,0.2081,-0.0149,-0.0149,-0.0149
regime-aware,none,regime-aware,all hours,28426,0.1932,0.207,-0.0137,-0.0137,-0.0137
regime-aware,none,shipped,Combined Sea >= 3 m,4473,0.3846,0.3556,0.029,0.029,0.029
regime-aware,none,period-sea-3m,Combined Sea >= 3 m,4473,0.3846,0.3556,0.029,0.029,0.029
regime-aware,none,period-op-sea-3m,Combined Sea >= 3 m,4473,0.3846,0.3553,0.0292,0.0292,0.0292
regime-aware,none,swell-3m,Combined Sea >= 3 m,4473,0.3846,0.3397,0.0448,0.0448,0.0448
regime-aware,none,all-hours,Combined Sea >= 3 m,4473,0.3846,0.3564,0.0281,0.0281,0.0281
regime-aware,none,combined-sea-3m,Combined Sea >= 3 m,4473,0.3846,0.354,0.0306,0.0306,0.0306
regime-aware,none,band-fitted,Combined Sea >= 3 m,4473,0.3846,0.3549,0.0297,0.0297,0.0297
regime-aware,none,regime-aware,Combined Sea >= 3 m,4473,0.3846,0.3557,0.0288,0.0288,0.0288
regime-aware,none,shipped,measured target under 2 m,15665,0.1296,0.1649,-0.0353,-0.0353,-0.0353
regime-aware,none,period-sea-3m,measured target under 2 m,15665,0.1296,0.1649,-0.0353,-0.0353,-0.0353
regime-aware,none,period-op-sea-3m,measured target under 2 m,15665,0.1296,0.1649,-0.0353,-0.0353,-0.0353
regime-aware,none,swell-3m,measured target under 2 m,15665,0.1296,0.2669,-0.1373,-0.1373,-0.1373
regime-aware,none,all-hours,measured target under 2 m,15665,0.1296,0.1659,-0.0363,-0.0363,-0.0363
regime-aware,none,combined-sea-3m,measured target under 2 m,15665,0.1296,0.1692,-0.0396,-0.0396,-0.0396
regime-aware,none,band-fitted,measured target under 2 m,15665,0.1296,0.1664,-0.0368,-0.0368,-0.0368
regime-aware,none,regime-aware,measured target under 2 m,15665,0.1296,0.1648,-0.0352,-0.0352,-0.0352
regime-aware,none,shipped,measured target 2-3 m,7511,0.1926,0.2175,-0.0249,-0.0249,-0.0249
regime-aware,none,period-sea-3m,measured target 2-3 m,7511,0.1926,0.2175,-0.0249,-0.0249,-0.0249
regime-aware,none,period-op-sea-3m,measured target 2-3 m,7511,0.1926,0.2174,-0.0248,-0.0248,-0.0248
regime-aware,none,swell-3m,measured target 2-3 m,7511,0.1926,0.244,-0.0514,-0.0514,-0.0514
regime-aware,none,all-hours,measured target 2-3 m,7511,0.1926,0.2184,-0.0258,-0.0258,-0.0258
regime-aware,none,combined-sea-3m,measured target 2-3 m,7511,0.1926,0.2158,-0.0233,-0.0233,-0.0233
regime-aware,none,band-fitted,measured target 2-3 m,7511,0.1926,0.2178,-0.0253,-0.0253,-0.0253
regime-aware,none,regime-aware,measured target 2-3 m,7511,0.1926,0.2145,-0.0219,-0.0219,-0.0219
regime-aware,none,shipped,measured target 3-4 m,3383,0.2787,0.2757,0.0029,0.0029,0.0029
regime-aware,none,period-sea-3m,measured target 3-4 m,3383,0.2787,0.2757,0.0029,0.0029,0.0029
regime-aware,none,period-op-sea-3m,measured target 3-4 m,3383,0.2787,0.2756,0.0031,0.0031,0.0031
regime-aware,none,swell-3m,measured target 3-4 m,3383,0.2787,0.2899,-0.0112,-0.0112,-0.0112
regime-aware,none,all-hours,measured target 3-4 m,3383,0.2787,0.2764,0.0023,0.0023,0.0023
regime-aware,none,combined-sea-3m,measured target 3-4 m,3383,0.2787,0.2799,-0.0012,-0.0012,-0.0012
regime-aware,none,band-fitted,measured target 3-4 m,3383,0.2787,0.2741,0.0046,0.0046,0.0046
regime-aware,none,regime-aware,measured target 3-4 m,3383,0.2787,0.2779,0.0007,0.0007,0.0007
regime-aware,none,shipped,measured target 4-5 m,1127,0.4231,0.3145,0.1086,0.1086,0.1086
regime-aware,none,period-sea-3m,measured target 4-5 m,1127,0.4231,0.3145,0.1086,0.1086,0.1086
regime-aware,none,period-op-sea-3m,measured target 4-5 m,1127,0.4231,0.3145,0.1086,0.1086,0.1086
regime-aware,none,swell-3m,measured target 4-5 m,1127,0.4231,0.3388,0.0843,0.0843,0.0843
regime-aware,none,all-hours,measured target 4-5 m,1127,0.4231,0.3143,0.1088,0.1088,0.1088
regime-aware,none,combined-sea-3m,measured target 4-5 m,1127,0.4231,0.3218,0.1013,0.1013,0.1013
regime-aware,none,band-fitted,measured target 4-5 m,1127,0.4231,0.3129,0.1102,0.1102,0.1102
regime-aware,none,regime-aware,measured target 4-5 m,1127,0.4231,0.3209,0.1022,0.1022,0.1022
regime-aware,none,shipped,measured target 5-6 m,415,0.6574,0.4471,0.2103,0.2103,0.2103
regime-aware,none,period-sea-3m,measured target 5-6 m,415,0.6574,0.4471,0.2103,0.2103,0.2103
