platform,season,season_hours,hours_usable,coverage_pct,usable_days
Monican01,2009/10,4368,938,21.5,39
Monican01,2010/11,4368,2029,46.5,83
Monican01,2011/12,4392,2527,57.5,104
Monican01,2012/13,4368,2892,66.2,113
Monican01,2013/14,4368,0,0.0,0
Monican01,2014/15,4368,2241,51.3,92
Monican01,2015/16,4392,4104,93.4,169
Monican01,2016/17,4368,3425,78.4,140
Monican01,2017/18,4368,4362,99.9,182
Monican01,2018/19,4368,3044,69.7,126
Monican01,2019/20,4392,1794,40.8,73
Monican01,2020/21,4368,0,0.0,0
Monican01,2021/22,4368,2895,66.3,119
Monican01,2022/23,4368,4367,100.0,182
Monican01,2023/24,4392,4156,94.6,172
Monican01,2024/25,4368,3366,77.1,138
Monican01,2025/26,4368,15,0.3,1
Monican02,2010/11,4368,1526,34.9,63
Monican02,2011/12,4392,4164,94.8,171
Monican02,2012/13,4368,730,16.7,28
Monican02,2013/14,4368,0,0.0,0
Monican02,2014/15,4368,3244,74.3,134
Monican02,2015/16,4392,3538,80.6,146
Monican02,2016/17,4368,0,0.0,0
Monican02,2017/18,4368,4361,99.8,182
Monican02,2018/19,4368,4298,98.4,180
Monican02,2019/20,4392,2590,59.0,107
Monican02,2020/21,4368,4328,99.1,181
Monican02,2021/22,4368,1520,34.8,63
Monican02,2022/23,4368,3944,90.3,164
Monican02,2023/24,4392,3219,73.3,132
Monican02,2024/25,4368,1607,36.8,66
Monican02,2025/26,4368,1593,36.5,66
