platform,year,hours_expected,hours_usable,coverage_pct,winter_hours_usable,winter_coverage_pct,usable_winter_days
Monican01,2009,5957,2962,49.7,740,33.5,31
Monican01,2010,8760,2828,32.3,1471,33.7,60
Monican01,2011,8760,3475,39.7,1653,37.8,67
Monican01,2012,8784,5875,66.9,3313,75.4,133
Monican01,2013,8760,1325,15.1,1209,27.7,48
Monican01,2014,8760,4805,54.9,1412,32.3,58
Monican01,2015,8760,4006,45.7,2775,63.5,114
Monican01,2016,8784,7541,85.8,3657,83.3,149
Monican01,2017,8760,6302,71.9,4128,94.5,172
Monican01,2018,8760,7372,84.2,3044,69.7,126
Monican01,2019,8760,7589,86.6,3487,79.8,145
Monican01,2020,8784,1669,19.0,467,10.6,18
Monican01,2021,8760,3024,34.5,1836,42.0,76
Monican01,2022,8760,6122,69.9,3266,74.8,135
Monican01,2023,8760,8247,94.1,4133,94.6,171
Monican01,2024,8784,8534,97.2,4192,95.4,173
Monican01,2025,6567,5764,87.8,1372,63.1,57
Monican02,2010,4860,2215,45.6,1273,57.7,52
Monican02,2011,8760,5064,57.8,2328,53.3,95
Monican02,2012,8784,6202,70.6,2460,56.0,100
Monican02,2013,8760,3530,40.3,359,8.2,15
Monican02,2014,8760,1114,12.7,1114,25.5,46
Monican02,2015,8760,6878,78.5,4202,96.2,174
Monican02,2016,8784,1466,16.7,1466,33.4,60
Monican02,2017,8760,4343,49.6,2205,50.5,92
Monican02,2018,8760,5295,60.4,4295,98.3,180
Monican02,2019,8760,5600,63.9,2839,65.0,118
Monican02,2020,8784,7132,81.2,4113,93.6,171
Monican02,2021,8760,7758,88.6,3645,83.4,152
Monican02,2022,8760,5420,61.9,1917,43.9,80
Monican02,2023,8760,8125,92.8,4006,91.7,165
Monican02,2024,8784,1240,14.1,1240,28.2,51
Monican02,2025,8760,3687,42.1,2453,56.2,101
Monican02,2026,4344,1497,34.5,747,34.6,31
