minimum_swell_period_s,watch_gold_days_called,watch_gold_days_in_split,watch_days_flagged,watch_flags_per_season,go_gold_days_called,go_days_flagged,go_calls_per_season,go_precision_lower_bound
10,6,6,74,24.7,6,32,10.7,0.1875
10.5,6,6,63,21.0,6,30,10.0,0.2000
11,6,6,54,18.0,6,26,8.7,0.2308
11.5,6,6,42,14.0,6,21,7.0,0.2857
12,6,6,35,11.7,6,18,6.0,0.3333
12.5,6,6,25,8.3,6,15,5.0,0.4000
13,5,6,17,5.7,5,10,3.3,0.5000
13.5,4,6,11,3.7,4,6,2.0,0.6667
14,2,6,5,1.7,2,2,0.7,1.0000
14.5,0,6,1,0.3,0,0,0.0,0.0000
15,0,6,0,0.0,0,0,0.0,0.0000
15.5,0,6,0,0.0,0,0,0.0,0.0000
16,0,6,0,0.0,0,0,0.0,0.0000
