lead_days,terms,bin_low,bin_high,hours,mean_predicted,observed_frequency
1,shipped,0.0,0.1,3765,0.0031,0.0
1,shipped,0.1,0.2,164,0.1527,0.0
1,shipped,0.2,0.3,75,0.2411,0.0
1,shipped,0.3,0.4,86,0.3337,0.0
1,shipped,0.4,0.5,25,0.424,0.0
1,shipped,0.5,0.6,108,0.5498,0.6944
1,shipped,0.6,0.7,59,0.6664,1.0
1,shipped,0.7,0.8,70,0.7446,1.0
1,shipped,0.8,0.9,113,0.8417,1.0
1,shipped,0.9,1.0,1687,0.9913,1.0
1,drift only,0.0,0.1,3929,0.0019,0.0
1,drift only,0.1,0.2,112,0.1544,0.0
1,drift only,0.2,0.3,23,0.242,0.0
1,drift only,0.3,0.4,51,0.3444,0.0
1,drift only,0.4,0.5,33,0.48,0.0
1,drift only,0.5,0.6,36,0.568,1.0
1,drift only,0.6,0.7,39,0.644,1.0
1,drift only,0.7,0.8,59,0.7616,1.0
1,drift only,0.8,0.9,70,0.8608,1.0
1,drift only,0.9,1.0,1800,0.9958,1.0
2,shipped,0.0,0.1,3621,0.0058,0.0
2,shipped,0.1,0.2,183,0.149,0.0
2,shipped,0.2,0.3,141,0.2461,0.0
2,shipped,0.3,0.4,95,0.3368,0.0
2,shipped,0.4,0.5,51,0.4266,0.0
2,shipped,0.5,0.6,108,0.5373,0.6944
2,shipped,0.6,0.7,129,0.6558,1.0
2,shipped,0.7,0.8,133,0.7733,1.0
2,shipped,0.8,0.9,247,0.8451,1.0
2,shipped,0.9,1.0,1420,0.9933,1.0
2,drift only,0.0,0.1,3709,0.0038,0.0
2,drift only,0.1,0.2,157,0.1453,0.0
2,drift only,0.2,0.3,114,0.2411,0.0
2,drift only,0.3,0.4,86,0.341,0.0
2,drift only,0.4,0.5,58,0.465,0.0
2,drift only,0.5,0.6,75,0.5577,1.0
2,drift only,0.6,0.7,93,0.6654,1.0
2,drift only,0.7,0.8,84,0.7704,1.0
2,drift only,0.8,0.9,271,0.851,1.0
2,drift only,0.9,1.0,1481,0.9921,1.0
3,shipped,0.0,0.1,3515,0.0069,0.0
3,shipped,0.1,0.2,233,0.1472,0.0
3,shipped,0.2,0.3,133,0.2419,0.0
3,shipped,0.3,0.4,135,0.3371,0.0
3,shipped,0.4,0.5,84,0.4543,0.0
3,shipped,0.5,0.6,98,0.5519,1.0
3,shipped,0.6,0.7,134,0.65,1.0
3,shipped,0.7,0.8,183,0.7617,1.0
3,shipped,0.8,0.9,236,0.8386,1.0
3,shipped,0.9,1.0,1353,0.993,1.0
3,drift only,0.0,0.1,3597,0.0053,0.0
3,drift only,0.1,0.2,219,0.1486,0.0
3,drift only,0.2,0.3,105,0.2474,0.0
3,drift only,0.3,0.4,121,0.3423,0.0
3,drift only,0.4,0.5,58,0.4581,0.0
3,drift only,0.5,0.6,98,0.5545,1.0
3,drift only,0.6,0.7,106,0.6586,1.0
3,drift only,0.7,0.8,160,0.7665,1.0
3,drift only,0.8,0.9,256,0.84,1.0
3,drift only,0.9,1.0,1384,0.9928,1.0
