lead_days,subset,hours,nominal,covered,below_p5,above_p95,median_width_m,median_normalised,widening_factor
1,all hours,1593,0.9,0.9397,0.0421,0.0182,1.0459,-0.0743,0.822
1,big swell,807,0.9,0.9257,0.0384,0.0359,1.6144,0.0117,0.9368
2,all hours,1593,0.9,0.9623,0.0239,0.0138,1.2004,-0.0663,0.726
2,big swell,807,0.9,0.9517,0.0211,0.0273,1.7969,0.0322,0.8315
3,all hours,1593,0.9,0.9718,0.0163,0.0119,1.3185,-0.0567,0.6645
3,big swell,807,0.9,0.9616,0.0149,0.0235,1.9619,0.0157,0.7632
4,all hours,1593,0.9,0.9849,0.0075,0.0075,1.4717,-0.0804,0.6028
4,big swell,807,0.9,0.9777,0.0074,0.0149,2.2867,-0.0191,0.6563
5,all hours,1593,0.9,0.99,0.005,0.005,1.6496,-0.0998,0.5489
5,big swell,807,0.9,0.9864,0.0037,0.0099,2.6125,-0.0551,0.5795
6,all hours,1593,0.9,0.9906,0.005,0.0044,1.8047,-0.1371,0.5454
6,big swell,807,0.9,0.9864,0.005,0.0087,2.7504,-0.1264,0.583
7,all hours,1593,0.9,0.9937,0.0019,0.0044,2.1919,-0.1568,0.5264
7,big swell,807,0.9,0.9888,0.0025,0.0087,3.0812,-0.1858,0.5767
