lead_days,subset,hours,rmse_raw_m,rmse_m,mean_error_m
0,all hours,1593,0.5306,0.5306,0.0535
0,big swell,807,0.6984,0.6984,-0.0077
1,all hours,1593,0.5283,0.5283,0.0303
1,big swell,807,0.7003,0.7005,-0.0449
2,all hours,1593,0.5526,0.5512,0.0338
2,big swell,807,0.7246,0.7246,-0.0533
3,all hours,1593,0.559,0.5579,0.0351
3,big swell,807,0.728,0.7293,-0.0624
4,all hours,1593,0.5873,0.588,0.041
4,big swell,807,0.7609,0.76,-0.0559
5,all hours,1593,0.6881,0.69,0.0467
5,big swell,807,0.8942,0.8921,-0.0457
6,all hours,1593,0.765,0.7704,0.0702
6,big swell,807,0.9561,0.9458,-0.0691
7,all hours,1593,0.8666,0.8706,0.0362
7,big swell,807,1.055,1.0296,-0.1533
