variant,lead_days,subset,hours,nominal,covered,below_p5,above_p95,median_width_m,median_normalised,widening_factor
shipped,1,all hours,1593,0.9,0.9448,0.032,0.0232,1.0459,-0.0575,0.8288
shipped,1,big swell,807,0.9,0.9232,0.031,0.0458,1.6144,0.0355,0.9313
shipped,2,all hours,1593,0.9,0.946,0.0314,0.0226,1.2004,-0.0628,0.796
shipped,2,big swell,807,0.9,0.9182,0.0372,0.0446,1.7969,0.0321,0.9353
shipped,3,all hours,1593,0.9,0.9548,0.0226,0.0226,1.3185,-0.069,0.7596
shipped,3,big swell,807,0.9,0.9318,0.026,0.0421,1.9619,0.04,0.8687
shipped,4,all hours,1593,0.9,0.9611,0.0176,0.0213,1.4717,-0.0694,0.7259
shipped,4,big swell,807,0.9,0.9542,0.0124,0.0335,2.2867,0.024,0.8209
shipped,5,all hours,1593,0.9,0.9454,0.0282,0.0264,1.6496,-0.0777,0.8124
shipped,5,big swell,807,0.9,0.9108,0.0421,0.0471,2.6125,0.0129,0.9464
shipped,6,all hours,1593,0.9,0.9228,0.0433,0.0339,1.8047,-0.0864,0.8876
shipped,6,big swell,807,0.9,0.9182,0.0186,0.0632,2.7504,-0.0057,0.8845
shipped,7,all hours,1593,0.9,0.8996,0.054,0.0465,2.1919,-0.0724,1.0032
shipped,7,big swell,807,0.9,0.8885,0.0297,0.0818,3.0812,0.0381,1.0654
no drift,1,all hours,1593,0.9,0.9328,0.0377,0.0295,1.0175,-0.0622,0.8626
no drift,1,big swell,807,0.9,0.9033,0.0397,0.057,1.5165,0.0475,0.9909
no drift,2,all hours,1593,0.9,0.9134,0.0483,0.0383,1.0175,-0.0598,0.9453
no drift,2,big swell,807,0.9,0.8761,0.0496,0.0743,1.5165,0.058,1.1042
no drift,3,all hours,1593,0.9,0.8983,0.0603,0.0414,1.0175,-0.0677,0.979
no drift,3,big swell,807,0.9,0.8699,0.0545,0.0756,1.5165,0.0826,1.1257
no drift,4,all hours,1593,0.9,0.8694,0.076,0.0546,1.0175,-0.0877,1.0706
no drift,4,big swell,807,0.9,0.8377,0.0694,0.0929,1.5165,0.0593,1.2357
no drift,5,all hours,1593,0.9,0.8117,0.1067,0.0816,1.0175,-0.0985,1.3695
no drift,5,big swell,807,0.9,0.7596,0.109,0.1314,1.5165,0.0569,1.609
no drift,6,all hours,1593,0.9,0.7476,0.1601,0.0923,1.0175,-0.0998,1.5972
no drift,6,big swell,807,0.9,0.7373,0.114,0.1487,1.5165,0.0415,1.6356
no drift,7,all hours,1593,0.9,0.6723,0.1783,0.1494,1.0175,-0.0848,2.0519
no drift,7,big swell,807,0.9,0.6406,0.1289,0.2305,1.5165,0.1587,2.1763
no translation,1,all hours,1593,0.9,0.9278,0.0421,0.0301,0.9455,-0.0489,0.895
no translation,1,big swell,807,0.9,0.9021,0.0397,0.0582,1.5177,0.0492,1.0007
no translation,2,all hours,1593,0.9,0.9366,0.0358,0.0276,1.0803,-0.0592,0.8624
no translation,2,big swell,807,0.9,0.9046,0.0409,0.0545,1.7293,0.042,0.9865
no translation,3,all hours,1593,0.9,0.9441,0.0308,0.0251,1.1877,-0.0727,0.8251
no translation,3,big swell,807,0.9,0.9269,0.0273,0.0458,1.9029,0.0444,0.8988
no translation,4,all hours,1593,0.9,0.9573,0.0201,0.0226,1.3732,-0.0704,0.7661
no translation,4,big swell,807,0.9,0.948,0.0173,0.0347,2.2272,0.0256,0.856
no translation,5,all hours,1593,0.9,0.9385,0.032,0.0295,1.5889,-0.0761,0.8327
no translation,5,big swell,807,0.9,0.9083,0.0421,0.0496,2.5727,0.0171,0.975
no translation,6,all hours,1593,0.9,0.9178,0.0477,0.0345,1.7337,-0.0837,0.9107
no translation,6,big swell,807,0.9,0.9182,0.0186,0.0632,2.7215,-0.0025,0.8936
no translation,7,all hours,1593,0.9,0.897,0.0552,0.0477,2.1263,-0.0786,1.0186
no translation,7,big swell,807,0.9,0.8848,0.031,0.0843,3.045,0.0396,1.0773
no own_error,1,all hours,1593,0.9,0.6723,0.2272,0.1004,0.5883,-0.2091,1.7867
no own_error,1,big swell,807,0.9,0.5898,0.2292,0.1809,0.6725,-0.0256,2.2005
no own_error,2,all hours,1593,0.9,0.8004,0.1356,0.064,0.8036,-0.155,1.2759
no own_error,2,big swell,807,0.9,0.741,0.1351,0.1239,1.0865,-0.0081,1.5278
no own_error,3,all hours,1593,0.9,0.8556,0.0986,0.0458,0.926,-0.1476,1.143
no own_error,3,big swell,807,0.9,0.8166,0.1004,0.083,1.3137,0.0137,1.2916
no own_error,4,all hours,1593,0.9,0.8839,0.0753,0.0408,1.099,-0.1419,1.0112
no own_error,4,big swell,807,0.9,0.8612,0.0694,0.0694,1.6584,-0.0154,1.1063
no own_error,5,all hours,1593,0.9,0.887,0.0691,0.0439,1.3442,-0.1275,1.0216
no own_error,5,big swell,807,0.9,0.8476,0.0818,0.0706,2.0554,-0.02,1.1746
no own_error,6,all hours,1593,0.9,0.8738,0.0879,0.0383,1.549,-0.122,1.0582
no own_error,6,big swell,807,0.9,0.8748,0.057,0.0682,2.2673,-0.0342,1.066
no own_error,7,all hours,1593,0.9,0.8688,0.0772,0.054,1.9519,-0.0972,1.145
no own_error,7,big swell,807,0.9,0.8538,0.0508,0.0954,2.665,0.0335,1.2199
