variable,unit,reference,lead_time_days,subset,hours,bias,mae,rmse,drift,bias_share,p5,p95
wave_height,m,open-meteo day 0,1,all hours,6152,-0.0016,0.0583,0.0951,0.0951,0.0003,-0.1600,0.1400
wave_height,m,open-meteo day 0,1,big swell,1634,0.0122,0.0873,0.1308,0.1303,0.0087,-0.1800,0.2470
wave_height,m,open-meteo day 0,2,all hours,6128,0.0018,0.1209,0.1773,0.1773,0.0001,-0.2400,0.3330
wave_height,m,open-meteo day 0,2,big swell,1634,0.0388,0.1999,0.2700,0.2672,0.0207,-0.3400,0.5000
wave_height,m,open-meteo day 0,3,all hours,6104,0.0077,0.1493,0.2175,0.2174,0.0013,-0.3000,0.4200
wave_height,m,open-meteo day 0,3,big swell,1634,0.0337,0.2592,0.3366,0.3349,0.0100,-0.4600,0.6200
wave_height,m,open-meteo day 0,4,all hours,6080,-0.0124,0.1818,0.2712,0.2710,0.0021,-0.4200,0.4600
wave_height,m,open-meteo day 0,4,big swell,1634,-0.0051,0.3287,0.4344,0.4344,0.0001,-0.6270,0.7000
wave_height,m,open-meteo day 0,5,all hours,6056,-0.0210,0.2260,0.3445,0.3438,0.0037,-0.5200,0.5400
wave_height,m,open-meteo day 0,5,big swell,1634,-0.0452,0.4028,0.5486,0.5467,0.0068,-0.8200,0.8600
wave_height,m,open-meteo day 0,6,all hours,6032,-0.0320,0.2758,0.4044,0.4031,0.0062,-0.7000,0.6000
wave_height,m,open-meteo day 0,6,big swell,1634,-0.1382,0.4726,0.6217,0.6061,0.0494,-1.1200,0.8400
wave_height,m,open-meteo day 0,7,all hours,6008,-0.0499,0.3562,0.5200,0.5176,0.0092,-0.9000,0.7400
wave_height,m,open-meteo day 0,7,big swell,1634,-0.2302,0.5752,0.7530,0.7169,0.0935,-1.2400,0.9670
wave_period,s,open-meteo day 0,1,all hours,6152,-0.0354,0.1530,0.2327,0.2300,0.0231,-0.4000,0.3000
wave_period,s,open-meteo day 0,1,big swell,1634,-0.0221,0.1574,0.2286,0.2276,0.0093,-0.4000,0.3500
wave_period,s,open-meteo day 0,2,all hours,6128,-0.0609,0.2993,0.4036,0.3990,0.0228,-0.7000,0.6000
wave_period,s,open-meteo day 0,2,big swell,1634,0.0497,0.3253,0.4060,0.4029,0.0150,-0.6000,0.7500
wave_period,s,open-meteo day 0,3,all hours,6104,-0.0619,0.3727,0.4925,0.4886,0.0158,-0.8500,0.7500
wave_period,s,open-meteo day 0,3,big swell,1634,0.0402,0.4274,0.5421,0.5406,0.0055,-0.9000,0.9000
wave_period,s,open-meteo day 0,4,all hours,6080,-0.1450,0.4411,0.5926,0.5746,0.0598,-1.1000,0.7500
wave_period,s,open-meteo day 0,4,big swell,1634,-0.0364,0.5178,0.6793,0.6783,0.0029,-1.2500,1.0000
wave_period,s,open-meteo day 0,5,all hours,6056,-0.2061,0.5157,0.7000,0.6690,0.0867,-1.3500,0.8000
wave_period,s,open-meteo day 0,5,big swell,1634,-0.0747,0.5917,0.7681,0.7644,0.0095,-1.4500,1.1000
wave_period,s,open-meteo day 0,6,all hours,6032,-0.2431,0.6335,0.8285,0.7921,0.0861,-1.6000,1.0000
wave_period,s,open-meteo day 0,6,big swell,1634,-0.1274,0.7205,0.9344,0.9257,0.0186,-1.7675,1.3500
wave_period,s,open-meteo day 0,7,all hours,6008,-0.2042,0.7790,1.0666,1.0469,0.0366,-1.9000,1.4000
wave_period,s,open-meteo day 0,7,big swell,1634,-0.1607,0.9307,1.2167,1.2060,0.0174,-2.3000,1.6500
wave_direction,°,open-meteo day 0,1,all hours,6152,-0.0102,0.8292,1.6079,1.6079,0.0000,-2.0000,2.0000
wave_direction,°,open-meteo day 0,1,big swell,1634,0.1157,0.7729,1.5710,1.5668,0.0054,-2.0000,2.0000
