date,split,reanalysis_m,operational_m,lead_1,lead_2,lead_3,lead_4,lead_5,lead_6,lead_7
2021-11-19,held-out,2.06,2.11,,,,,,,
2016-12-20,fitting,2.98,3.04,0.9325,0.7983,0.7597,0.7403,0.7228,0.7536,0.7611
2018-11-16,fitting,2.98,3.04,0.9325,0.7983,0.7597,0.7403,0.7228,0.7536,0.7611
2018-02-11,fitting,3.04,3.10,0.9660,0.8509,0.8091,0.7818,0.7578,0.7835,0.7862
2021-12-13,held-out,3.22,3.28,0.9976,0.9509,0.9165,0.8811,0.8470,0.8595,0.8516
2016-12-23,fitting,3.31,3.37,0.9995,0.9750,0.9491,0.9164,0.8822,0.8897,0.8787
2016-12-22,fitting,3.32,3.38,0.9996,0.9770,0.9519,0.9198,0.8857,0.8928,0.8815
2022-02-09,held-out,3.34,3.40,0.9997,0.9804,0.9573,0.9263,0.8925,0.8987,0.8869
2011-11-01,fitting,3.40,3.46,0.9999,0.9883,0.9706,0.9432,0.9112,0.9150,0.9021
2021-12-11,held-out,3.59,3.65,1.0000,0.9982,0.9924,0.9776,0.9545,0.9538,0.9404
2022-01-12,held-out,3.60,3.66,1.0000,0.9984,0.9929,0.9788,0.9562,0.9553,0.9420
2022-02-10,held-out,3.63,3.70,1.0000,0.9989,0.9944,0.9820,0.9610,0.9598,0.9467
2015-11-01,fitting,3.64,3.71,1.0000,0.9990,0.9949,0.9829,0.9625,0.9612,0.9482
2025-02-18,held-out,3.80,3.87,1.0000,0.9999,0.9987,0.9934,0.9807,0.9786,0.9678
2018-02-10,fitting,3.81,3.88,1.0000,0.9999,0.9988,0.9938,0.9816,0.9794,0.9688
2024-01-22,held-out,3.85,3.92,1.0000,0.9999,0.9992,0.9952,0.9846,0.9825,0.9725
2016-02-19,fitting,3.91,3.98,1.0000,1.0000,0.9996,0.9968,0.9883,0.9863,0.9774
2019-02-07,fitting,3.99,4.06,1.0000,1.0000,0.9998,0.9981,0.9921,0.9903,0.9827
2014-12-11,fitting,4.18,4.25,1.0000,1.0000,1.0000,0.9996,0.9971,0.9959,0.9913
2013-10-28,fitting,4.20,4.27,1.0000,1.0000,1.0000,0.9996,0.9974,0.9963,0.9919
2017-11-08,fitting,4.25,4.32,1.0000,1.0000,1.0000,0.9998,0.9980,0.9971,0.9933
2022-02-26,held-out,4.30,4.37,1.0000,1.0000,1.0000,0.9998,0.9985,0.9978,0.9945
2019-11-13,fitting,4.33,4.40,1.0000,1.0000,1.0000,0.9999,0.9988,0.9981,0.9952
2018-11-18,fitting,4.39,4.46,1.0000,1.0000,1.0000,0.9999,0.9991,0.9986,0.9962
2016-10-24,fitting,4.49,4.57,1.0000,1.0000,1.0000,1.0000,0.9995,0.9992,0.9975
2020-02-11,fitting,4.66,4.74,1.0000,1.0000,1.0000,1.0000,0.9999,0.9997,0.9988
2018-11-09,fitting,4.68,4.76,1.0000,1.0000,1.0000,1.0000,0.9999,0.9997,0.9989
2015-10-27,fitting,4.74,4.82,1.0000,1.0000,1.0000,1.0000,0.9999,0.9998,0.9992
2020-10-29,held-out,4.79,4.87,1.0000,1.0000,1.0000,1.0000,0.9999,0.9999,0.9994
2013-01-28,fitting,4.91,4.99,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,0.9997
2016-12-17,fitting,4.94,5.02,1.0000,1.0000,1.0000,1.0000,1.0000,0.9999,0.9997
2020-02-17,fitting,4.98,5.06,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998
2018-12-14,fitting,5.02,5.10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998
2022-01-08,held-out,5.02,5.10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9998
2022-02-25,held-out,5.28,5.37,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2025-12-13,held-out,5.30,5.39,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2017-02-28,fitting,5.56,5.65,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2018-01-18,fitting,5.90,5.99,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
