variable,unit,lead_time_days,month,hours,mean_drift
wave_height,m,1,2025-11,320,-0.0096
wave_height,m,1,2025-12,744,-0.0251
wave_height,m,1,2026-01,744,0.0105
wave_height,m,1,2026-02,672,0.0408
wave_height,m,1,2026-03,744,-0.0077
wave_height,m,1,2026-04,720,-0.0131
wave_height,m,1,2026-05,744,-0.0026
wave_height,m,1,2026-06,720,-0.0026
wave_height,m,1,2026-07,744,-0.0058
wave_height,m,2,2025-11,296,-0.0101
wave_height,m,2,2025-12,744,-0.0441
wave_height,m,2,2026-01,744,0.1084
wave_height,m,2,2026-02,672,0.0730
wave_height,m,2,2026-03,744,-0.0583
wave_height,m,2,2026-04,720,-0.0385
wave_height,m,2,2026-05,744,-0.0050
wave_height,m,2,2026-06,720,-0.0021
wave_height,m,2,2026-07,744,-0.0088
wave_height,m,3,2025-11,272,0.0090
wave_height,m,3,2025-12,744,-0.0417
wave_height,m,3,2026-01,744,0.1145
wave_height,m,3,2026-02,672,0.1010
wave_height,m,3,2026-03,744,-0.0610
wave_height,m,3,2026-04,720,-0.0370
wave_height,m,3,2026-05,744,-0.0096
wave_height,m,3,2026-06,720,0.0207
wave_height,m,3,2026-07,744,-0.0177
wave_height,m,4,2025-11,248,-0.0381
wave_height,m,4,2025-12,744,-0.0663
wave_height,m,4,2026-01,744,0.0656
wave_height,m,4,2026-02,672,0.1318
wave_height,m,4,2026-03,744,-0.1138
wave_height,m,4,2026-04,720,-0.0939
wave_height,m,4,2026-05,744,-0.0302
wave_height,m,4,2026-06,720,0.0470
wave_height,m,4,2026-07,744,-0.0171
wave_height,m,5,2025-11,224,-0.1035
wave_height,m,5,2025-12,744,-0.0604
wave_height,m,5,2026-01,744,-0.0220
wave_height,m,5,2026-02,672,0.1564
wave_height,m,5,2026-03,744,-0.1304
wave_height,m,5,2026-04,720,-0.0963
wave_height,m,5,2026-05,744,-0.0021
wave_height,m,5,2026-06,720,0.0505
wave_height,m,5,2026-07,744,-0.0216
wave_height,m,6,2025-11,200,0.0301
wave_height,m,6,2025-12,744,-0.0833
wave_height,m,6,2026-01,744,-0.0867
wave_height,m,6,2026-02,672,0.0582
wave_height,m,6,2026-03,744,-0.1343
wave_height,m,6,2026-04,720,-0.0298
wave_height,m,6,2026-05,744,0.0006
wave_height,m,6,2026-06,720,0.0378
wave_height,m,6,2026-07,744,-0.0239
wave_height,m,7,2025-11,176,0.1553
wave_height,m,7,2025-12,744,-0.0822
wave_height,m,7,2026-01,744,-0.1508
wave_height,m,7,2026-02,672,-0.0086
wave_height,m,7,2026-03,744,-0.1134
wave_height,m,7,2026-04,720,-0.0931
