variable,unit,reference,lead_time_days,subset,hours,bias,mae,rmse,drift,bias_share,p5,p95
wave_height,m,proxy target,1,all hours,1586,-0.1444,0.2997,0.4221,0.3966,0.1171,-0.9155,0.3905
wave_height,m,proxy target,1,big swell,800,-0.3425,0.4200,0.5498,0.4300,0.3882,-1.1524,0.2745
wave_height,m,proxy target,2,all hours,1586,-0.1281,0.3242,0.4519,0.4333,0.0804,-0.9548,0.4658
wave_height,m,proxy target,2,big swell,800,-0.3292,0.4479,0.5835,0.4817,0.3184,-1.2180,0.3790
wave_height,m,proxy target,3,all hours,1586,-0.1263,0.3331,0.4721,0.4548,0.0716,-0.9915,0.4888
wave_height,m,proxy target,3,big swell,800,-0.3417,0.4598,0.6111,0.5067,0.3126,-1.2813,0.3927
wave_height,m,proxy target,4,all hours,1586,-0.1484,0.3608,0.5024,0.4799,0.0873,-1.0330,0.5048
wave_height,m,proxy target,4,big swell,800,-0.3696,0.4927,0.6437,0.5270,0.3297,-1.3605,0.4092
wave_height,m,proxy target,5,all hours,1586,-0.1666,0.4251,0.6004,0.5768,0.0770,-1.1245,0.6290
wave_height,m,proxy target,5,big swell,800,-0.3956,0.5813,0.7708,0.6615,0.2635,-1.4714,0.5875
wave_height,m,proxy target,6,all hours,1586,-0.1934,0.4795,0.6871,0.6593,0.0793,-1.3277,0.8055
wave_height,m,proxy target,6,big swell,800,-0.4950,0.6422,0.8660,0.7106,0.3267,-1.7671,0.4781
wave_height,m,proxy target,7,all hours,1586,-0.2709,0.5878,0.8231,0.7773,0.1083,-1.6073,0.9755
wave_height,m,proxy target,7,big swell,800,-0.6405,0.7797,1.0211,0.7952,0.3935,-1.9905,0.5197
