hour,lead_time_hours,variable,models_reporting,providers_reporting,model_spread,provider_spread
2026-08-03T00:00,0,swell_wave_height,5,3,0.38,0.36
2026-08-03T00:00,0,swell_wave_period,5,3,4.20,4.15
2026-08-03T00:00,0,swell_wave_direction,5,3,61.00,60.50
2026-08-03T01:00,1,swell_wave_height,5,3,0.36,0.34
2026-08-03T01:00,1,swell_wave_period,5,3,4.10,4.08
2026-08-03T01:00,1,swell_wave_direction,5,3,61.00,60.00
2026-08-03T02:00,2,swell_wave_height,5,3,0.36,0.33
2026-08-03T02:00,2,swell_wave_period,5,3,3.65,3.62
2026-08-03T02:00,2,swell_wave_direction,5,3,38.00,37.50
2026-08-03T03:00,3,swell_wave_height,5,3,0.32,0.30
2026-08-03T03:00,3,swell_wave_period,5,3,3.05,3.00
2026-08-03T03:00,3,swell_wave_direction,5,3,23.00,20.50
2026-08-03T04:00,4,swell_wave_height,5,3,0.32,0.30
2026-08-03T04:00,4,swell_wave_period,5,3,2.55,2.50
2026-08-03T04:00,4,swell_wave_direction,5,3,27.00,25.00
2026-08-03T05:00,5,swell_wave_height,5,3,0.32,0.30
2026-08-03T05:00,5,swell_wave_period,5,3,2.40,2.35
2026-08-03T05:00,5,swell_wave_direction,5,3,25.00,23.00
2026-08-03T06:00,6,swell_wave_height,5,3,0.32,0.29
2026-08-03T06:00,6,swell_wave_period,5,3,2.45,2.40
2026-08-03T06:00,6,swell_wave_direction,5,3,23.00,20.50
2026-08-03T07:00,7,swell_wave_height,5,3,0.32,0.29
2026-08-03T07:00,7,swell_wave_period,5,3,2.55,2.50
2026-08-03T07:00,7,swell_wave_direction,5,3,21.00,18.50
2026-08-03T08:00,8,swell_wave_height,5,3,0.32,0.29
2026-08-03T08:00,8,swell_wave_period,5,3,2.65,2.60
2026-08-03T08:00,8,swell_wave_direction,5,3,19.00,16.50
2026-08-03T09:00,9,swell_wave_height,5,3,0.34,0.30
2026-08-03T09:00,9,swell_wave_period,5,3,2.90,2.85
2026-08-03T09:00,9,swell_wave_direction,5,3,16.00,13.50
2026-08-03T10:00,10,swell_wave_height,5,3,0.34,0.29
2026-08-03T10:00,10,swell_wave_period,5,3,3.00,2.98
2026-08-03T10:00,10,swell_wave_direction,5,3,14.00,11.50
