subset,candidate,hours,bias,mae,rmse
ibi: all overlapping hours,height: SW1 alone,35064,+0.003,0.149,0.226
ibi: all overlapping hours,height: SW1+SW2 combined,35064,+0.090,0.171,0.247
ibi: all overlapping hours,period: VTM01_SW1,35064,+0.483,0.792,1.113
ibi: all overlapping hours,period: energy-weighted,35064,+0.532,0.805,1.080
ibi: all overlapping hours,direction: VMDR_SW1,35064,+1.596,5.318,9.722
ibi: all overlapping hours,direction: energy-weighted,35064,+1.832,6.159,9.622
ibi: all overlapping hours,control: Combined Sea,35064,-0.045,0.096,0.138
ibi: discriminating (SW2 >= 0.5*SW1),height: SW1 alone,8307,-0.083,0.161,0.245
ibi: discriminating (SW2 >= 0.5*SW1),height: SW1+SW2 combined,8307,+0.200,0.235,0.301
ibi: discriminating (SW2 >= 0.5*SW1),period: VTM01_SW1,8307,+0.583,1.258,1.754
ibi: discriminating (SW2 >= 0.5*SW1),period: energy-weighted,8307,+0.658,1.203,1.594
ibi: discriminating (SW2 >= 0.5*SW1),direction: VMDR_SW1,8307,+2.099,10.317,17.150
ibi: discriminating (SW2 >= 0.5*SW1),direction: energy-weighted,8307,+2.820,12.252,16.352
ibi: discriminating (SW2 >= 0.5*SW1),control: Combined Sea,8307,-0.035,0.080,0.113
ibi: big swell (>= 3 m),height: SW1 alone,4366,-0.072,0.260,0.364
ibi: big swell (>= 3 m),height: SW1+SW2 combined,4366,-0.016,0.232,0.323
ibi: big swell (>= 3 m),period: VTM01_SW1,4366,+0.499,0.597,0.759
ibi: big swell (>= 3 m),period: energy-weighted,4366,+0.485,0.574,0.708
ibi: big swell (>= 3 m),direction: VMDR_SW1,4366,+0.823,3.191,4.821
ibi: big swell (>= 3 m),direction: energy-weighted,4366,+0.817,2.944,4.152
ibi: big swell (>= 3 m),control: Combined Sea,4366,-0.113,0.191,0.250
ibi: discriminating AND big swell,height: SW1 alone,223,-0.697,0.710,0.787
ibi: discriminating AND big swell,height: SW1+SW2 combined,223,+0.050,0.252,0.349
ibi: discriminating AND big swell,period: VTM01_SW1,223,+1.032,1.317,1.613
ibi: discriminating AND big swell,period: energy-weighted,223,+0.675,0.844,1.077
ibi: discriminating AND big swell,direction: VMDR_SW1,223,+2.572,11.079,13.070
ibi: discriminating AND big swell,direction: energy-weighted,223,+1.265,4.433,5.910
ibi: discriminating AND big swell,control: Combined Sea,223,-0.124,0.174,0.231
waverys: all overlapping hours,height: SW1 alone,11688,-0.027,0.118,0.173
waverys: all overlapping hours,height: SW1+SW2 combined,11688,+0.057,0.145,0.207
waverys: all overlapping hours,period: VTM01_SW1,11688,+0.869,0.970,1.227
waverys: all overlapping hours,period: energy-weighted,11688,+0.933,1.028,1.279
waverys: all overlapping hours,direction: VMDR_SW1,11688,-1.308,3.956,8.177
waverys: all overlapping hours,direction: energy-weighted,11688,-1.119,5.360,8.777
waverys: all overlapping hours,control: Combined Sea,11688,-0.061,0.095,0.126
waverys: discriminating (SW2 >= 0.5*SW1),height: SW1 alone,2786,-0.055,0.119,0.175
waverys: discriminating (SW2 >= 0.5*SW1),height: SW1+SW2 combined,2786,+0.196,0.220,0.279
waverys: discriminating (SW2 >= 0.5*SW1),period: VTM01_SW1,2786,+1.098,1.342,1.804
waverys: discriminating (SW2 >= 0.5*SW1),period: energy-weighted,2786,+1.273,1.507,1.908
waverys: discriminating (SW2 >= 0.5*SW1),direction: VMDR_SW1,2786,-2.657,8.213,14.939
waverys: discriminating (SW2 >= 0.5*SW1),direction: energy-weighted,2786,-1.999,11.944,15.634
waverys: discriminating (SW2 >= 0.5*SW1),control: Combined Sea,2786,-0.049,0.085,0.117
waverys: big swell (>= 3 m),height: SW1 alone,1464,-0.046,0.163,0.232
waverys: big swell (>= 3 m),height: SW1+SW2 combined,1464,-0.013,0.162,0.234
waverys: big swell (>= 3 m),period: VTM01_SW1,1464,+0.886,0.903,0.980
waverys: big swell (>= 3 m),period: energy-weighted,1464,+0.882,0.902,0.987
waverys: big swell (>= 3 m),direction: VMDR_SW1,1464,-1.511,2.337,3.451
waverys: big swell (>= 3 m),direction: energy-weighted,1464,-1.522,2.452,3.561
waverys: big swell (>= 3 m),control: Combined Sea,1464,-0.092,0.139,0.176
waverys: discriminating AND big swell,height: SW1 alone,43,-0.345,0.434,0.544
waverys: discriminating AND big swell,height: SW1+SW2 combined,43,+0.325,0.407,0.556
waverys: discriminating AND big swell,period: VTM01_SW1,43,+1.155,1.280,1.430
waverys: discriminating AND big swell,period: energy-weighted,43,+1.134,1.316,1.650
waverys: discriminating AND big swell,direction: VMDR_SW1,43,-1.278,5.709,8.575
waverys: discriminating AND big swell,direction: energy-weighted,43,-3.405,6.683,8.625
waverys: discriminating AND big swell,control: Combined Sea,43,-0.085,0.193,0.242
